Port/Protocol Combination Counts:

Port       Protocol   Count
1659       tcp        2    
21407      udp        2    
27845      icmp       3    
12918      tcp        1    
7591       udp        1    
56721      tcp        2    
21485      udp        1    
1172       tcp        1    
14557      icmp       1    
63102      icmp       2    
43720      icmp       2    
18623      icmp       2    
62330      udp        1    
48274      udp        3    
59793      udp        3    
58366      tcp        2    
9292       tcp        1    
54574      udp        2    
46846      udp        2    
51866      udp        1    
42001      icmp       2    
51101      udp        2    
45051      icmp       1    
18580      tcp        1    
14073      tcp        2    
11207      udp        1    
7617       icmp       1    
42030      udp        1    
37850      udp        1    
49769      icmp       3    
25733      tcp        1    
55956      tcp        1    
44762      udp        3    
7698       icmp       1    
18390      tcp        2    
19415      icmp       1    
721        tcp        2    
52624      udp        3    
24300      tcp        1    
63304      icmp       2    
64632      udp        2    
34477      icmp       2    
11288      tcp        1    
47352      icmp       2    
2415       tcp        1    
22305      tcp        2    
63425      tcp        1    
46864      icmp       3    
36022      tcp        1    
41188      tcp        1    
29345      icmp       2    
42652      icmp       2    
3839       udp        2    
58909      tcp        1    
41476      udp        1    
5498       icmp       1    
20584      tcp        1    
39750      udp        2    
5691       udp        3    
57834      udp        1    
21961      icmp       3    
7953       tcp        2    
41800      icmp       2    
64093      icmp       2    
28520      tcp        1    
11129      udp        1    
16582      udp        1    
21278      icmp       1    
6097       tcp        2    
62261      tcp        1    
27028      udp        1    
29026      icmp       1    
48198      udp        1    
23393      icmp       1    
61616      tcp        2    
50193      icmp       2    
41540      udp        1    
21417      udp        2    
36915      icmp       1    
65334      tcp        1    
32826      tcp        1    
37762      udp        2    
61025      tcp        1    
42948      udp        1    
28371      tcp        1    
9106       icmp       3    
27965      udp        1    
5619       udp        3    
17775      tcp        2    
34930      udp        2    
47959      icmp       3    
50272      tcp        1    
54012      icmp       2    
34725      tcp        2    
15986      tcp        1    
22804      icmp       1    
4176       udp        1    
7883       icmp       1    
52745      icmp       1    
29914      udp        1    
1896       udp        2    
33928      tcp        2    
60354      udp        1    
54460      tcp        2    
8417       udp        1    
43336      udp        1    
46770      icmp       2    
10908      tcp        1    
40141      icmp       1    
10790      tcp        1    
3695       icmp       2    
23441      udp        3    
23573      icmp       2    
36155      icmp       2    
34620      udp        1    
64165      tcp        1    
27691      tcp        1    
29816      tcp        2    
49255      tcp        1    
25324      icmp       1    
26009      udp        1    
23384      icmp       3    
12947      icmp       1    
18695      udp        1    
23841      udp        3    
9634       udp        1    
58097      udp        2    
15253      udp        1    
19292      icmp       2    
21235      tcp        2    
65039      icmp       1    
46455      tcp        1    
917        tcp        1    
32992      tcp        1    
60577      icmp       1    
31348      udp        1    
12650      udp        1    
48695      icmp       2    
58050      udp        1    
48096      udp        1    
17005      udp        1    
41510      tcp        2    
13445      icmp       2    
35334      icmp       2    
63342      tcp        1    
40860      udp        2    
61060      tcp        2    
9444       udp        1    
55634      udp        1    
3583       icmp       2    
32687      udp        2    
51390      tcp        1    
1547       udp        1    
53409      udp        1    
63106      icmp       2    
42666      tcp        2    
20397      icmp       2    
57029      icmp       1    
16630      udp        2    
31777      icmp       2    
46849      udp        1    
60745      udp        2    
45683      tcp        2    
32120      udp        3    
17696      tcp        2    
60960      tcp        2    
23437      tcp        1    
15136      tcp        3    
53678      tcp        1    
59803      tcp        4    
4415       tcp        1    
62535      udp        1    
53695      udp        1    
52545      icmp       1    
30042      tcp        1    
12712      udp        2    
38476      icmp       2    
6847       udp        4    
26684      udp        1    
32759      tcp        3    
59817      icmp       4    
54149      tcp        2    
999        tcp        1    
35444      icmp       2    
52969      udp        1    
63455      tcp        2    
42362      tcp        2    
55489      tcp        2    
45002      udp        1    
63017      icmp       3    
30842      udp        1    
32864      icmp       1    
7610       tcp        2    
22111      udp        2    
11209      icmp       3    
63004      tcp        3    
46391      udp        3    
58899      tcp        3    
20181      icmp       1    
10038      udp        1    
56555      udp        1    
33773      tcp        3    
42267      udp        1    
61176      icmp       1    
23585      icmp       1    
22247      udp        3    
56940      udp        1    
55109      udp        2    
25255      udp        1    
37474      tcp        1    
1028       icmp       3    
37453      tcp        1    
32463      icmp       2    
26286      udp        2    
25695      icmp       1    
48750      tcp        1    
7113       tcp        1    
49051      tcp        1    
13902      tcp        3    
5323       udp        2    
57490      tcp        1    
59741      icmp       1    
44625      tcp        1    
19995      tcp        3    
39671      tcp        3    
26958      tcp        1    
61825      tcp        2    
16501      tcp        1    
52940      udp        3    
14751      icmp       4    
17946      icmp       1    
1204       udp        1    
63752      icmp       2    
13559      udp        2    
41056      udp        2    
9545       tcp        2    
4176       tcp        1    
41324      udp        3    
58719      tcp        1    
8718       icmp       1    
16934      icmp       2    
48969      icmp       2    
18220      tcp        1    
1850       icmp       2    
63111      udp        4    
55041      udp        1    
13843      tcp        1    
53609      icmp       3    
53738      udp        3    
32707      icmp       3    
11954      tcp        2    
10491      icmp       2    
951        udp        1    
19156      udp        1    
30408      tcp        1    
56241      icmp       1    
52861      udp        2    
56801      icmp       1    
482        udp        1    
2328       tcp        1    
61841      icmp       1    
27393      icmp       3    
43870      tcp        1    
17997      tcp        3    
43658      icmp       1    
31008      udp        3    
51584      udp        2    
22925      udp        3    
31852      icmp       2    
45375      udp        2    
55669      icmp       1    
43803      udp        1    
52306      icmp       1    
3584       icmp       2    
10988      tcp        2    
34138      icmp       3    
38762      tcp        2    
12699      icmp       1    
40070      tcp        1    
32775      tcp        1    
2354       tcp        2    
19527      tcp        1    
58726      udp        1    
15515      udp        2    
20221      tcp        2    
43172      udp        1    
52325      tcp        2    
53357      udp        2    
64244      icmp       1    
41357      icmp       1    
33280      icmp       2    
37010      icmp       2    
49700      tcp        1    
40166      icmp       1    
20760      tcp        2    
14085      tcp        4    
24601      tcp        2    
62328      icmp       3    
33194      icmp       1    
29390      icmp       2    
60952      icmp       2    
60950      icmp       2    
46532      tcp        2    
43952      icmp       3    
5321       udp        2    
60440      tcp        1    
49232      tcp        1    
18862      tcp        3    
47085      icmp       3    
11350      udp        1    
61374      udp        2    
53478      tcp        1    
23311      udp        1    
7323       udp        1    
13666      udp        2    
16591      icmp       1    
60792      tcp        2    
15636      udp        3    
46999      tcp        2    
22031      udp        2    
18034      icmp       1    
18905      icmp       2    
54952      tcp        1    
29247      udp        1    
55429      udp        2    
41027      icmp       2    
29726      tcp        4    
23082      tcp        1    
23452      udp        3    
14729      tcp        3    
30141      tcp        1    
1026       udp        2    
64614      udp        1    
25227      icmp       3    
56197      tcp        1    
40993      tcp        1    
61835      tcp        1    
14956      icmp       1    
29356      tcp        3    
36594      tcp        1    
11604      icmp       2    
21435      udp        2    
58149      udp        1    
56343      icmp       2    
33396      icmp       2    
60189      tcp        2    
25819      tcp        4    
52669      tcp        2    
53738      icmp       1    
11245      tcp        3    
26683      udp        4    
47679      tcp        2    
54332      icmp       1    
34621      udp        1    
16522      udp        4    
14467      icmp       2    
8970       udp        2    
11250      icmp       2    
41237      icmp       1    
46895      tcp        2    
1918       udp        2    
28465      icmp       1    
29742      tcp        1    
42690      icmp       2    
40523      icmp       1    
52759      udp        1    
21789      udp        1    
39541      udp        1    
50761      tcp        1    
18036      icmp       3    
20605      icmp       2    
64032      icmp       2    
63232      tcp        2    
21497      icmp       3    
65381      icmp       2    
53619      icmp       2    
39899      tcp        3    
45117      icmp       1    
51654      tcp        2    
17865      tcp        2    
49166      tcp        1    
18349      tcp        1    
16501      udp        1    
13182      udp        2    
10229      icmp       1    
706        udp        1    
22984      tcp        3    
17369      tcp        2    
36225      tcp        1    
33109      icmp       2    
6905       tcp        2    
36889      icmp       1    
50531      tcp        1    
23118      icmp       2    
24505      icmp       4    
51527      tcp        2    
54473      tcp        2    
17094      tcp        2    
12211      tcp        1    
32972      udp        4    
33712      tcp        2    
55164      udp        3    
24244      icmp       1    
56627      tcp        2    
64795      tcp        2    
19612      udp        4    
32441      udp        2    
60992      icmp       3    
19305      tcp        2    
55114      udp        1    
29217      icmp       2    
20725      icmp       1    
12696      udp        2    
22217      udp        2    
51548      udp        1    
13305      icmp       2    
24566      tcp        1    
63376      icmp       1    
5061       udp        2    
52023      icmp       2    
45179      icmp       2    
65058      tcp        1    
17898      udp        3    
17229      tcp        2    
26043      udp        1    
49805      udp        1    
63712      udp        2    
32636      icmp       2    
30745      tcp        2    
30571      tcp        2    
58229      tcp        3    
64532      tcp        1    
47763      tcp        1    
29995      tcp        2    
6693       icmp       1    
24100      tcp        1    
16680      icmp       1    
57711      tcp        2    
59573      tcp        1    
5086       tcp        4    
56360      udp        3    
41007      udp        2    
49138      udp        1    
31297      udp        1    
41781      tcp        1    
10708      tcp        2    
36599      udp        2    
26874      udp        3    
49946      icmp       4    
24963      icmp       1    
52533      icmp       1    
26883      tcp        3    
33341      icmp       1    
35092      icmp       1    
59142      tcp        1    
9117       udp        5    
46524      udp        1    
14283      icmp       1    
24809      udp        3    
61269      icmp       2    
60337      udp        1    
5916       tcp        2    
19762      tcp        1    
64847      icmp       2    
4644       udp        2    
8368       udp        3    
2694       udp        1    
46354      udp        1    
20886      tcp        1    
36411      udp        2    
23950      tcp        1    
10502      icmp       1    
46658      udp        2    
17960      udp        1    
35091      udp        1    
7972       udp        2    
34165      tcp        2    
7042       udp        1    
43215      udp        1    
10510      icmp       5    
21118      tcp        1    
32473      tcp        4    
41856      udp        2    
55637      tcp        3    
52455      icmp       2    
38458      tcp        1    
2485       tcp        3    
60220      tcp        1    
26105      icmp       3    
22183      icmp       1    
9211       icmp       1    
25870      icmp       2    
7286       udp        1    
16160      icmp       2    
47913      tcp        3    
35295      tcp        1    
38930      icmp       4    
40678      tcp        1    
16573      udp        3    
56052      udp        1    
32974      udp        2    
2298       tcp        2    
21904      tcp        1    
60422      tcp        2    
52013      icmp       1    
43766      tcp        1    
12289      icmp       1    
16864      udp        4    
2698       icmp       1    
6791       udp        1    
26653      udp        3    
22486      tcp        2    
30742      tcp        2    
39511      icmp       2    
21318      udp        1    
2517       tcp        6    
60451      udp        1    
11998      tcp        1    
24536      icmp       1    
25756      icmp       2    
7245       icmp       3    
15404      udp        1    
40444      tcp        3    
7133       icmp       1    
12436      icmp       2    
33825      tcp        2    
28845      udp        1    
51226      icmp       1    
37898      icmp       1    
24429      udp        1    
37787      tcp        4    
39597      icmp       1    
13124      tcp        1    
56305      udp        2    
17334      udp        3    
50039      icmp       2    
56633      udp        1    
48182      icmp       2    
18066      tcp        2    
38220      udp        1    
38625      icmp       1    
34089      udp        2    
20716      udp        1    
55159      tcp        2    
35757      tcp        1    
44996      udp        3    
14628      tcp        1    
64567      udp        2    
62161      icmp       3    
25280      tcp        3    
61648      tcp        2    
1550       udp        1    
46188      icmp       1    
47108      udp        1    
26521      tcp        1    
49271      tcp        3    
17050      icmp       2    
61192      udp        1    
23415      udp        1    
41399      tcp        2    
704        icmp       3    
1929       icmp       1    
45996      icmp       1    
892        icmp       2    
37974      icmp       3    
20479      icmp       3    
48842      icmp       1    
24027      tcp        1    
2062       udp        1    
45755      icmp       3    
38004      udp        2    
36784      udp        3    
15016      udp        2    
43677      icmp       2    
56677      icmp       2    
1714       tcp        2    
60023      udp        2    
857        udp        2    
23242      icmp       3    
47922      icmp       1    
20842      tcp        3    
30036      tcp        1    
29348      tcp        1    
10847      udp        1    
44732      tcp        1    
7532       udp        2    
5021       tcp        1    
52683      udp        3    
56311      tcp        3    
49418      icmp       3    
3380       icmp       2    
31579      udp        1    
48287      tcp        2    
36074      udp        2    
31464      icmp       2    
17675      icmp       1    
29285      udp        2    
62469      tcp        1    
50678      udp        1    
14758      udp        1    
7761       udp        1    
62534      icmp       2    
47955      tcp        1    
55369      udp        1    
64610      udp        1    
42068      tcp        2    
28957      udp        4    
7099       udp        1    
9919       tcp        1    
36117      udp        1    
6384       tcp        1    
29500      icmp       1    
42826      icmp       2    
46382      udp        1    
6054       udp        1    
22169      udp        2    
45240      udp        1    
198        tcp        4    
50401      udp        1    
25961      tcp        1    
43050      icmp       3    
37056      icmp       1    
8617       icmp       1    
34056      tcp        3    
62366      tcp        2    
672        icmp       1    
10689      icmp       1    
34863      icmp       2    
45331      icmp       1    
10816      udp        1    
33125      icmp       4    
3955       icmp       2    
31664      udp        1    
23021      tcp        2    
23231      icmp       2    
33565      icmp       1    
17119      udp        1    
45427      udp        1    
60922      udp        1    
29181      icmp       4    
26145      icmp       4    
20700      icmp       2    
2534       tcp        1    
10181      udp        2    
40597      icmp       1    
59809      udp        1    
6159       icmp       1    
2674       tcp        3    
46983      icmp       2    
11332      udp        2    
1352       icmp       2    
37467      udp        1    
29027      tcp        3    
28244      udp        1    
19326      icmp       2    
867        icmp       1    
26387      udp        3    
29070      icmp       1    
24114      icmp       1    
48827      udp        3    
25661      tcp        1    
59797      tcp        1    
41920      icmp       2    
4133       icmp       4    
61029      icmp       2    
49223      tcp        1    
61296      udp        2    
31024      tcp        1    
14264      tcp        1    
43993      udp        2    
33456      tcp        3    
31493      tcp        2    
3729       icmp       3    
31404      tcp        2    
9298       icmp       1    
30287      udp        1    
51008      icmp       2    
59663      udp        2    
50715      udp        1    
8049       tcp        1    
16871      udp        3    
43529      icmp       4    
3486       tcp        1    
26591      udp        1    
17314      udp        3    
60473      udp        1    
23337      icmp       1    
22084      tcp        1    
32578      udp        2    
9118       tcp        1    
58964      icmp       2    
6800       icmp       3    
62170      icmp       1    
9248       icmp       3    
30839      udp        1    
36856      udp        1    
62846      icmp       2    
54885      udp        1    
56659      tcp        1    
37382      tcp        1    
2646       udp        1    
60319      tcp        2    
37142      icmp       2    
53717      udp        2    
50055      icmp       4    
23877      icmp       2    
14749      udp        2    
6108       tcp        2    
46142      tcp        1    
29527      udp        1    
36108      udp        1    
33392      tcp        1    
42354      udp        2    
46107      icmp       2    
55500      icmp       1    
15094      tcp        3    
4382       udp        2    
6269       icmp       2    
54760      tcp        1    
34689      udp        1    
54408      tcp        2    
12631      icmp       1    
16094      udp        1    
21432      udp        1    
6057       tcp        2    
61822      udp        2    
56705      udp        2    
36408      udp        2    
41617      icmp       2    
36226      udp        1    
19026      udp        3    
31545      icmp       2    
8424       tcp        2    
27329      udp        1    
40889      tcp        2    
1741       icmp       1    
20402      udp        2    
46150      udp        1    
63218      tcp        1    
13124      udp        1    
48127      icmp       3    
392        udp        1    
57136      udp        1    
61572      udp        1    
23355      icmp       2    
25392      udp        2    
51311      icmp       2    
31955      icmp       1    
64844      udp        1    
51735      tcp        1    
46594      icmp       1    
65020      tcp        1    
28703      tcp        1    
57363      icmp       1    
41910      icmp       2    
14527      udp        1    
13289      tcp        1    
33450      tcp        2    
47877      udp        1    
2243       udp        2    
22748      tcp        1    
55295      tcp        2    
29055      icmp       2    
34168      udp        2    
23387      tcp        2    
58887      icmp       1    
10889      tcp        1    
42650      icmp       1    
40489      tcp        2    
54041      udp        1    
55588      tcp        1    
63023      udp        2    
4267       udp        3    
40393      icmp       1    
38292      tcp        1    
64467      icmp       3    
22604      udp        3    
6302       tcp        1    
36669      icmp       1    
58831      icmp       1    
19887      icmp       1    
52799      tcp        2    
59782      tcp        1    
26156      udp        1    
20989      udp        1    
42945      icmp       2    
15739      tcp        2    
20274      udp        2    
64720      icmp       4    
40039      icmp       2    
65268      icmp       4    
53429      udp        1    
64161      udp        5    
6890       icmp       1    
25314      icmp       1    
16113      icmp       2    
23902      tcp        3    
25729      udp        3    
59888      tcp        3    
17986      udp        4    
58263      icmp       1    
44360      tcp        1    
33414      tcp        2    
49382      icmp       2    
41065      icmp       3    
50275      icmp       2    
19189      udp        1    
8924       udp        4    
62093      udp        1    
44414      icmp       2    
55283      udp        2    
20488      tcp        1    
65529      icmp       1    
2588       icmp       2    
27502      tcp        2    
54368      tcp        1    
45562      udp        3    
4840       icmp       2    
49172      tcp        1    
34917      icmp       1    
62874      icmp       2    
58551      tcp        2    
28508      tcp        3    
29338      tcp        2    
20138      tcp        2    
58402      tcp        1    
6628       icmp       2    
45899      icmp       3    
2638       tcp        2    
32428      icmp       4    
23893      udp        2    
51713      icmp       1    
34301      icmp       3    
14256      icmp       2    
44879      udp        2    
45860      udp        2    
58924      icmp       2    
54097      udp        1    
12455      tcp        1    
20219      tcp        1    
5811       icmp       3    
29797      tcp        1    
28212      tcp        3    
29730      icmp       3    
26349      icmp       3    
13188      tcp        1    
65342      icmp       2    
25766      tcp        3    
14026      tcp        1    
15057      tcp        1    
43290      udp        1    
14743      tcp        1    
55340      icmp       2    
35346      icmp       1    
48255      udp        1    
355        tcp        2    
11127      udp        1    
39504      icmp       4    
60971      udp        2    
34007      udp        3    
47048      udp        2    
15802      udp        3    
14586      icmp       2    
1597       tcp        2    
4185       udp        1    
5470       icmp       2    
39243      tcp        1    
49814      tcp        1    
49406      icmp       1    
40877      udp        2    
37811      tcp        3    
57656      icmp       2    
22723      icmp       2    
23961      icmp       1    
5162       udp        2    
54795      icmp       2    
37933      udp        1    
11148      icmp       3    
52543      tcp        4    
385        icmp       3    
27472      icmp       3    
41143      icmp       2    
57131      tcp        2    
3659       tcp        3    
5000       tcp        1    
13699      tcp        1    
49301      icmp       1    
48914      icmp       2    
10435      tcp        3    
25096      udp        1    
54146      udp        2    
6616       tcp        1    
54208      udp        1    
55356      udp        2    
49128      tcp        1    
16077      udp        2    
56966      udp        1    
32610      tcp        2    
14801      icmp       1    
41444      tcp        3    
38081      udp        2    
35898      tcp        1    
22814      udp        1    
5984       udp        1    
4590       icmp       3    
13290      udp        1    
2678       udp        4    
13323      tcp        2    
3209       tcp        2    
42878      udp        3    
19189      icmp       1    
36819      udp        1    
65107      tcp        2    
13155      tcp        3    
3409       icmp       1    
22937      udp        1    
17584      udp        1    
54314      udp        1    
45827      icmp       3    
55933      udp        1    
53531      icmp       2    
8783       udp        2    
27731      tcp        1    
50158      icmp       3    
62989      tcp        2    
52771      tcp        2    
56368      icmp       2    
46340      udp        1    
39568      tcp        1    
48056      icmp       2    
58216      tcp        2    
38793      udp        1    
692        icmp       2    
37929      udp        3    
21322      udp        2    
35724      udp        1    
62901      icmp       1    
10091      udp        4    
25663      icmp       1    
37157      udp        2    
12271      icmp       2    
33877      udp        1    
41765      icmp       2    
16367      udp        1    
56113      udp        1    
47047      udp        2    
10049      udp        2    
15594      icmp       2    
61601      tcp        1    
5247       udp        1    
63800      tcp        1    
6138       icmp       1    
35250      udp        2    
20982      icmp       1    
23378      icmp       3    
17052      icmp       1    
23306      icmp       2    
6658       udp        1    
6427       tcp        2    
1527       tcp        3    
40576      udp        2    
37784      udp        3    
50785      icmp       1    
374        icmp       2    
32367      icmp       1    
12908      udp        1    
49233      udp        1    
35831      tcp        2    
64197      icmp       2    
59325      tcp        1    
7136       udp        3    
15213      tcp        1    
13981      tcp        1    
14919      tcp        1    
26164      tcp        1    
10844      tcp        1    
43337      udp        1    
5728       icmp       2    
44436      icmp       3    
42085      tcp        1    
52326      tcp        1    
59524      tcp        2    
44759      tcp        1    
54231      icmp       4    
38488      icmp       1    
2775       udp        3    
55825      icmp       1    
34112      udp        1    
37359      icmp       1    
55686      tcp        1    
58280      icmp       2    
52294      tcp        3    
53128      tcp        1    
16545      icmp       1    
110        icmp       4    
47661      udp        2    
59634      udp        2    
17506      udp        1    
1228       icmp       2    
38729      icmp       2    
65314      tcp        2    
51361      udp        1    
14767      udp        2    
14946      icmp       1    
28489      tcp        2    
4160       udp        1    
2351       icmp       2    
22386      tcp        2    
22076      tcp        1    
43554      icmp       2    
25963      icmp       1    
40956      udp        1    
30648      udp        4    
52922      icmp       2    
25660      icmp       1    
26660      tcp        2    
60591      icmp       1    
9608       udp        1    
359        udp        2    
5030       icmp       2    
46842      tcp        2    
31542      udp        4    
53730      tcp        1    
16238      icmp       1    
29860      icmp       2    
21597      icmp       1    
26465      tcp        1    
25399      udp        1    
48018      icmp       2    
39751      icmp       2    
15195      icmp       4    
34332      icmp       1    
20026      tcp        2    
9377       udp        1    
30635      tcp        1    
44230      tcp        3    
63300      icmp       1    
61612      icmp       2    
5629       udp        2    
18725      udp        2    
6930       udp        3    
44691      tcp        3    
6373       icmp       2    
27980      icmp       1    
8303       icmp       3    
18210      udp        2    
12280      tcp        2    
18054      icmp       1    
5433       udp        2    
61623      icmp       1    
60917      tcp        1    
43761      icmp       1    
43252      udp        2    
48077      tcp        3    
58090      udp        1    
2065       tcp        1    
28765      udp        1    
43697      icmp       2    
6584       udp        3    
35143      tcp        1    
37603      tcp        3    
61892      udp        1    
25431      udp        4    
41917      icmp       2    
40599      udp        2    
63065      tcp        2    
55784      udp        1    
21436      udp        1    
19196      udp        2    
50850      udp        3    
4308       udp        1    
10539      udp        1    
28082      tcp        3    
51829      tcp        2    
65441      tcp        2    
5822       udp        1    
9090       tcp        2    
8037       udp        1    
58352      icmp       2    
10443      udp        1    
51921      icmp       2    
6559       tcp        2    
6155       udp        2    
57620      icmp       2    
9043       udp        2    
58852      udp        3    
6460       icmp       1    
14170      tcp        1    
32311      tcp        1    
57406      tcp        1    
26592      tcp        2    
31407      udp        1    
35794      icmp       1    
5218       tcp        3    
16158      udp        1    
61559      udp        2    
32380      udp        1    
39440      tcp        1    
37676      udp        1    
49592      icmp       2    
58513      icmp       1    
14477      tcp        3    
22957      udp        1    
37260      icmp       1    
342        icmp       1    
32405      tcp        1    
52482      icmp       2    
49227      icmp       2    
57736      icmp       2    
49544      udp        2    
64752      udp        2    
58358      udp        4    
23106      udp        2    
21528      tcp        1    
55259      icmp       2    
53254      udp        1    
9684       icmp       3    
9796       icmp       2    
6109       icmp       2    
3628       tcp        1    
13638      tcp        1    
43036      udp        1    
46850      tcp        1    
21754      udp        2    
15230      icmp       1    
20510      tcp        1    
49768      udp        1    
24526      udp        5    
49378      tcp        3    
22156      tcp        4    
47419      icmp       1    
12932      icmp       2    
19320      udp        4    
57708      tcp        1    
1464       tcp        1    
56355      tcp        3    
63282      udp        2    
2640       icmp       1    
47366      tcp        1    
8859       udp        1    
12455      udp        2    
10420      tcp        1    
54670      udp        1    
23681      icmp       1    
700        icmp       3    
64104      udp        2    
40006      tcp        1    
32131      icmp       1    
433        icmp       2    
533        tcp        4    
12784      udp        1    
20579      icmp       2    
11365      udp        2    
21273      tcp        1    
26972      icmp       2    
55014      udp        3    
61380      udp        2    
31723      tcp        1    
53239      icmp       3    
61604      udp        3    
36337      tcp        1    
30893      udp        1    
16655      tcp        2    
7898       tcp        1    
12097      udp        1    
25541      icmp       2    
28914      udp        1    
45597      tcp        1    
778        icmp       2    
30103      icmp       1    
8699       tcp        2    
62124      udp        2    
33918      tcp        1    
23531      icmp       1    
39580      tcp        1    
53990      tcp        2    
40191      tcp        2    
1443       tcp        1    
7199       udp        1    
26515      tcp        1    
40648      udp        1    
27196      udp        3    
2209       tcp        1    
62512      tcp        1    
51999      udp        2    
31368      tcp        1    
892        udp        1    
40827      icmp       1    
6139       icmp       3    
12389      tcp        1    
39428      tcp        1    
37034      udp        2    
10500      udp        3    
45959      icmp       1    
14819      tcp        1    
43106      udp        2    
46412      udp        2    
30566      tcp        1    
54700      udp        2    
40857      icmp       2    
23155      icmp       3    
38074      tcp        1    
4308       tcp        1    
41569      icmp       2    
29114      icmp       1    
3413       udp        5    
29591      tcp        1    
58011      tcp        2    
20270      udp        1    
12750      icmp       3    
17488      tcp        1    
54388      icmp       5    
59664      icmp       3    
5560       tcp        1    
62787      icmp       1    
30993      udp        1    
21819      icmp       2    
21546      icmp       1    
28407      udp        1    
4111       icmp       2    
50545      tcp        2    
45432      udp        1    
8973       icmp       3    
17885      icmp       3    
37450      icmp       1    
60757      tcp        2    
24402      tcp        3    
18133      tcp        2    
46012      udp        3    
17765      icmp       4    
41093      udp        3    
31808      tcp        2    
58993      tcp        3    
59508      tcp        2    
22201      udp        1    
64028      udp        5    
43997      tcp        2    
53428      udp        2    
20922      udp        1    
30286      tcp        2    
56092      icmp       2    
52642      icmp       1    
8508       icmp       1    
50300      tcp        1    
10792      udp        1    
24683      icmp       1    
57978      icmp       2    
42445      icmp       1    
2933       icmp       2    
23852      udp        1    
25039      udp        2    
36624      icmp       1    
31634      tcp        2    
17286      udp        1    
12468      icmp       1    
39740      tcp        2    
63540      tcp        2    
33360      udp        1    
7433       tcp        1    
4192       tcp        1    
60541      tcp        1    
6396       udp        3    
18011      tcp        2    
24984      tcp        1    
53253      icmp       4    
44595      tcp        2    
11329      udp        1    
17114      icmp       3    
37648      icmp       2    
36715      udp        1    
1370       icmp       1    
5438       udp        3    
7771       tcp        1    
34126      udp        2    
12618      icmp       3    
20405      tcp        3    
57040      tcp        2    
63320      icmp       2    
41855      icmp       1    
34664      icmp       5    
44290      icmp       1    
47670      udp        1    
18939      icmp       1    
884        icmp       4    
9776       udp        1    
22295      udp        2    
44747      tcp        3    
41590      tcp        1    
63782      icmp       1    
